sex,race_known,reason_stopped,searched,search_based_on,search_found,race,arrest_date,arrest_time,lng,lat
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,FRISK FOR SAFETY,NOTHING,BLACK,2020-03-13,2020-03-13 22:35:00,-97.71136352538448,30.26783305359894
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,FRISK FOR SAFETY,NOTHING,BLACK,2020-08-12,2020-08-12 23:26:00,-97.65650476235909,30.31039700419503
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,FRISK FOR SAFETY,NOTHING,BLACK,2020-02-08,2020-02-08 17:59:00,-97.73013615719627,30.229677988091577
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,FRISK FOR SAFETY,NOTHING,BLACK,2020-09-06,2020-09-06 21:44:00,-97.77848813483726,30.192779827469106
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,ALCOHOL,BLACK,2020-03-26,2020-03-26 21:22:00,-97.63727299485983,30.276793780116346
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,CASH,BLACK,2020-09-27,2020-09-27 20:42:00,-97.71090561749655,30.307786466071622
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,CASH,BLACK,2020-02-14,2020-02-14 01:50:00,-97.73939201929942,30.267138378343233
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,DRUGS,BLACK,2020-02-11,2020-02-11 01:41:00,-97.72220027035841,30.279652594275507
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,DRUGS,BLACK,2020-11-10,2020-11-10 00:56:00,-97.71955120727971,30.238802598460914
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,DRUGS,BLACK,2020-12-19,2020-12-19 02:35:00,-97.7417402499256,30.287780471187727
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,DRUGS,BLACK,2020-01-30,2020-01-30 21:58:00,-97.74043210206165,30.26746196775017
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,DRUGS,BLACK,2020-12-19,2020-12-19 22:26:00,-97.66791441983014,30.27604860345544
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-05-26,2020-05-26 18:31:00,-97.70736328189969,30.2937503290777
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-11-11,2020-11-11 14:50:00,-97.72934986075643,30.258958675907717
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-02-03,2020-02-03 02:16:00,-97.73939201929942,30.267138378343233
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-12-02,2020-12-02 04:17:00,-97.68518199267521,30.27822186380147
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-02-04,2020-02-04 14:31:00,-97.68302257812722,30.303549480889416
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-10-23,2020-10-23 01:50:00,-97.68705903081,30.29818162541972
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-02-04,2020-02-04 18:13:00,-97.70263303521118,30.31834065856385
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-10-12,2020-10-12 22:13:00,-97.67194598005182,30.278778269025025
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-05-25,2020-05-25 21:40:00,-97.70833835687434,30.337140881117424
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-02-16,2020-02-16 01:54:00,-97.69702142369674,30.36314183207842
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-01-23,2020-01-23 12:26:00,-97.67298538088474,30.382954454293028
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-02-21,2020-02-21 15:38:00,-97.69048008548923,30.329160980355724
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-02-28,2020-02-28 17:53:00,-97.68990385291877,30.329825695158153
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-02-05,2020-02-05 05:01:00,-97.68678322716899,30.332165153596513
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-03-13,2020-03-13 03:16:00,-97.73450872244248,30.279638766938657
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-10-31,2020-10-31 01:22:00,-97.70848808920337,30.25180834140571
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-01-29,2020-01-29 00:14:00,-97.74446836419064,30.26747757485723
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-02-07,2020-02-07 02:06:00,-97.74869345454263,30.252392014869795
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-12-10,2020-12-10 23:38:00,-97.7160611626499,30.327955752131643
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-01-21,2020-01-21 23:43:00,-97.78285619001491,30.243673359167772
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-01-03,2020-01-03 23:15:00,-97.6887683625862,30.276169887445395
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-06-12,2020-06-12 03:04:00,-97.68272054907916,30.275307829796258
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-01-10,2020-01-10 10:01:00,-97.67194598005182,30.278778269025025
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-03-21,2020-03-21 00:20:00,-97.69370625786188,30.259334920216293
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-07-30,2020-07-30 20:32:00,-97.7030815114043,30.25385648593506
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-06-09,2020-06-09 23:42:00,-97.72561976178802,30.237883904337355
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-01-10,2020-01-10 01:05:00,-97.71634906170368,30.231311271908744
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-03-15,2020-03-15 01:42:00,-97.74775404072987,30.180286968858663
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-01-01,2020-01-01 02:11:00,-97.74574427521922,30.40405548283678
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-05-01,2020-05-01 02:48:00,-97.71572059967163,30.357570274110195
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-12-02,2020-12-02 20:25:00,-97.68165073069798,30.353822937454193
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-01-05,2020-01-05 20:56:00,-97.70195088720232,30.402642276262622
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-02-07,2020-02-07 04:17:00,-97.784971318409,30.23494470945169
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-05-24,2020-05-24 12:23:00,-97.73104128553251,30.245926151324564
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,OTHER,BLACK,2020-01-23,2020-01-23 02:16:00,-97.76263129326327,30.270412072661426
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,OTHER,BLACK,2020-05-29,2020-05-29 08:35:00,-97.69042420612239,30.27356094086592
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,OTHER,BLACK,2020-02-24,2020-02-24 00:18:00,-97.6959972881547,30.3648700206068
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,WEAPONS,BLACK,2020-01-15,2020-01-15 22:30:00,-97.6755852925334,30.377020731599277
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,PROBABLE CAUSE,DRUGS,BLACK,2020-01-16,2020-01-16 16:55:00,-97.70362923777247,30.275389325973215
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,PROBABLE CAUSE,DRUGS,BLACK,2020-02-24,2020-02-24 23:51:00,-97.7002103367264,30.34613023354592
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,PROBABLE CAUSE,DRUGS,BLACK,2020-04-03,2020-04-03 21:14:00,-97.73868962100877,30.265803991759462
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,PROBABLE CAUSE,DRUGS,BLACK,2020-03-05,2020-03-05 01:43:00,-97.66863054793451,30.273409374667292
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,PROBABLE CAUSE,DRUGS,BLACK,2020-08-04,2020-08-04 00:21:00,-97.6854530054675,30.277814907557534
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,PROBABLE CAUSE,DRUGS,BLACK,2020-11-05,2020-11-05 14:52:00,-97.68557258028208,30.27195357619279
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,PROBABLE CAUSE,NOTHING,BLACK,2020-02-14,2020-02-14 01:50:00,-97.73939201929942,30.267138378343233
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,PROBABLE CAUSE,NOTHING,BLACK,2020-03-07,2020-03-07 17:08:00,-97.70078513954452,30.339708901355685
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,PROBABLE CAUSE,NOTHING,BLACK,2020-03-08,2020-03-08 21:56:00,-97.7074321601505,30.287607422207092
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,PROBABLE CAUSE,NOTHING,BLACK,2020-04-25,2020-04-25 23:08:00,-97.73585666017229,30.26628841033508
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,PROBABLE CAUSE,NOTHING,BLACK,2020-05-22,2020-05-22 22:36:00,-97.68554213458643,30.277222667856694
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,PROBABLE CAUSE,NOTHING,BLACK,2020-04-28,2020-04-28 01:20:00,-97.68286575495505,30.27936764127307
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,PROBABLE CAUSE,NOTHING,BLACK,2020-01-31,2020-01-31 00:24:00,-97.68984853226311,30.27109298275389
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,PROBABLE CAUSE,NOTHING,BLACK,2020-05-05,2020-05-05 21:44:00,-97.69265933845185,30.270853899932707
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,PROBABLE CAUSE,NOTHING,BLACK,2020-03-08,2020-03-08 14:17:00,-97.67751727111433,30.401203725586107
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,PROBABLE CAUSE,NOTHING,BLACK,2020-02-26,2020-02-26 13:17:00,-97.693299672757,30.32530252865076
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,PROBABLE CAUSE,NOTHING,BLACK,2020-04-01,2020-04-01 23:45:00,-97.62798616283041,30.291224742968264
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,PROBABLE CAUSE,OTHER,BLACK,2020-01-04,2020-01-04 09:35:00,-97.68569098810198,30.277456775127916
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,PROBABLE CAUSE,OTHER,BLACK,2020-05-22,2020-05-22 03:38:00,-97.6417591270009,30.29774165460981
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,PROBABLE CAUSE,OTHER,BLACK,2020-05-06,2020-05-06 21:54:00,-97.69042420612239,30.27356094086592
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,PROBABLE CAUSE,OTHER,BLACK,2020-01-10,2020-01-10 01:48:00,-97.63727299485983,30.276793780116346
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-06-28,2020-06-28 20:51:00,-97.74748856150528,30.354047944106277
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-03-10,2020-03-10 01:35:00,-97.75721804555937,30.309289385730388
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-07-14,2020-07-14 21:42:00,-97.73529476025907,30.384894326353237
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,PROBABLE CAUSE,DRUGS,BLACK,2020-01-28,2020-01-28 23:13:00,-97.74313013222486,30.368492868052375
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,PROBABLE CAUSE,NOTHING,BLACK,2020-03-18,2020-03-18 00:06:00,-97.7576836802973,30.30918322825659
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,NO = 2,No Search,No Search,BLACK,2020-01-29,2020-01-29 16:29:00,-97.76991839653806,30.191439654406423
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,DRUGS,BLACK,2020-04-30,2020-04-30 23:24:00,-97.68950758467285,30.32091453767585
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-03-08,2020-03-08 11:59:00,-97.70260556940633,30.334231758958545
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-12-17,2020-12-17 02:12:00,-97.72692069120902,30.282985856616765
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-02-17,2020-02-17 05:39:00,-97.707488371454,30.32142160302486
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-09-16,2020-09-16 00:43:00,-97.67206678667344,30.32520183971829
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-07-28,2020-07-28 22:15:00,-97.7672246767666,30.19380321660056
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-03-22,2020-03-22 22:08:00,-97.77750562543393,30.43817470886284
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-03-14,2020-03-14 02:23:00,-97.77929889449491,30.43985510718349
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-03-23,2020-03-23 23:03:00,-97.67054902578577,30.43166303062445
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-05-19,2020-05-19 19:36:00,-97.69281253488307,30.35225449064823
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-07-15,2020-07-15 17:58:00,-97.69706541366762,30.344591414355655
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,PROBABLE CAUSE,NOTHING,BLACK,2020-01-13,2020-01-13 23:15:00,-97.73466677691415,30.26682260345138
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Pre-existing knowledge (i.e. warrant),YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-01-18,2020-01-18 01:07:00,-97.69300502552883,30.33606970238966
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Pre-existing knowledge (i.e. warrant),YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-02-27,2020-02-27 14:41:00,-97.71155830320778,30.373836227407978
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Pre-existing knowledge (i.e. warrant),YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-05-14,2020-05-14 17:09:00,-97.68859262136715,30.333360400709775
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Pre-existing knowledge (i.e. warrant),YES = 1,INCIDENTAL TO ARREST,OTHER,BLACK,2020-05-06,2020-05-06 03:36:00,-97.64659921715335,30.287375173877052
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Pre-existing knowledge (i.e. warrant),YES = 1,INCIDENTAL TO ARREST,NOTHING,BLACK,2020-05-25,2020-05-25 21:32:00,-97.69124598676179,30.353987972691872
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,NO = 2,No Search,No Search,BLACK,2020-02-14,2020-02-14 11:05:00,-97.7463269950459,30.27911330081448
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,NO = 2,No Search,No Search,BLACK,2020-11-06,2020-11-06 15:04:00,-97.71452167004533,30.34530939822636
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,NO = 2,No Search,No Search,BLACK,2020-11-12,2020-11-12 16:19:00,-97.64501311515511,30.299831494645556
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,NO = 2,No Search,No Search,BLACK,2020-12-30,2020-12-30 20:04:00,-97.69282138873848,30.218242739014347
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,NO = 2,No Search,No Search,BLACK,2020-11-12,2020-11-12 02:10:00,-97.70004428583138,30.372425959007884
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,NO = 2,No Search,No Search,BLACK,2020-02-07,2020-02-07 20:03:00,-97.72736018862764,30.393597824741317
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,NO = 2,No Search,No Search,BLACK,2020-01-11,2020-01-11 06:08:00,-97.7371823629985,30.241025883210234
